;loinc_num;long_common_name;component;system;property;combined_col;removed_punc;tokens;clean_tokens;pos_tag;clean_text;query;rank
211;79469-3;Uridine diphosphate glucose-4-Epimerase [Enzymatic activity/mass] in Red Blood Cells;Uridine diphosphate glucose-4-Epimerase;RBC;CCnt;Uridine diphosphate glucose-4-Epimerase [Enzymatic activity/mass] in Red Blood CellsUridine diphosphate glucose-4-EpimeraseRBCproperty;Uridine diphosphate glucose4Epimerase Enzymatic activitymass in Red Blood CellsUridine diphosphate glucose4EpimeraseRBCproperty;['uridine', 'diphosphate', 'glucose4epimerase', 'enzymatic', 'activitymass', 'in', 'red', 'blood', 'cellsuridine', 'diphosphate', 'glucose4epimeraserbcproperty'];['uridine', 'diphosphate', 'glucose4epimerase', 'enzymatic', 'activitymass', 'red', 'blood', 'cellsuridine', 'diphosphate', 'glucose4epimeraserbcproperty'];[('uridine', 'JJ'), ('diphosphate', 'NN'), ('glucose4epimerase', 'NN'), ('enzymatic', 'JJ'), ('activitymass', 'NN'), ('in', 'IN'), ('red', 'JJ'), ('blood', 'NN'), ('cellsuridine', 'NN'), ('diphosphate', 'NN'), ('glucose4epimeraserbcproperty', 'NN')];uridine diphosphate glucose4epimerase enzymatic activitymass red blood cellsuridine diphosphate glucose4epimeraserbcproperty;bilirubin in plasma;0
212;74542-2;Pyruvate kinase/Glucose-6-Phosphate dehydrogenase [Enzymatic activity ratio] in Red Blood Cells;Pyruvate kinase/Glucose-6-Phosphate dehydrogenase;RBC;CRto;Pyruvate kinase/Glucose-6-Phosphate dehydrogenase [Enzymatic activity ratio] in Red Blood CellsPyruvate kinase/Glucose-6-Phosphate dehydrogenaseRBCproperty;Pyruvate kinaseGlucose6Phosphate dehydrogenase Enzymatic activity ratio in Red Blood CellsPyruvate kinaseGlucose6Phosphate dehydrogenaseRBCproperty;['pyruvate', 'kinaseglucose6phosphate', 'dehydrogenase', 'enzymatic', 'activity', 'ratio', 'in', 'red', 'blood', 'cellspyruvate', 'kinaseglucose6phosphate', 'dehydrogenaserbcproperty'];['pyruvate', 'kinaseglucose6phosphate', 'dehydrogenase', 'enzymatic', 'activity', 'ratio', 'red', 'blood', 'cellspyruvate', 'kinaseglucose6phosphate', 'dehydrogenaserbcproperty'];[('pyruvate', 'NN'), ('kinaseglucose6phosphate', 'NN'), ('dehydrogenase', 'NN'), ('enzymatic', 'JJ'), ('activity', 'NN'), ('ratio', 'NN'), ('in', 'IN'), ('red', 'JJ'), ('blood', 'NN'), ('cellspyruvate', 'NN'), ('kinaseglucose6phosphate', 'NN'), ('dehydrogenaserbcproperty', 'NN')];pyruvate kinaseglucose6phosphate dehydrogenase enzymatic activity ratio red blood cellspyruvate kinaseglucose6phosphate dehydrogenaserbcproperty;bilirubin in plasma;0
213;62850-3;Deprecated PhenX measure - fasting plasma glucose for diabetes screening - blood draw;PhenX measure - fasting plasma glucose for diabetes screening - blood draw;^Patient;-;Deprecated PhenX measure - fasting plasma glucose for diabetes screening - blood drawPhenX measure - fasting plasma glucose for diabetes screening - blood draw^Patientproperty;Deprecated PhenX measure  fasting plasma glucose for diabetes screening  blood drawPhenX measure  fasting plasma glucose for diabetes screening  blood drawPatientproperty;['deprecated', 'phenx', 'measure', 'fasting', 'plasma', 'glucose', 'for', 'diabetes', 'screening', 'blood', 'drawphenx', 'measure', 'fasting', 'plasma', 'glucose', 'for', 'diabetes', 'screening', 'blood', 'drawpatientproperty'];['deprecated', 'phenx', 'measure', 'fasting', 'plasma', 'glucose', 'diabetes', 'screening', 'blood', 'drawphenx', 'measure', 'fasting', 'plasma', 'glucose', 'diabetes', 'screening', 'blood', 'drawpatientproperty'];[('deprecated', 'VBN'), ('phenx', 'JJ'), ('measure', 'NN'), ('fasting', 'VBG'), ('plasma', 'NN'), ('glucose', 'NN'), ('for', 'IN'), ('diabetes', 'NNS'), ('screening', 'VBG'), ('blood', 'NN'), ('drawphenx', 'NN'), ('measure', 'NN'), ('fasting', 'VBG'), ('plasma', 'NN'), ('glucose', 'NN'), ('for', 'IN'), ('diabetes', 'NNS'), ('screening', 'VBG'), ('blood', 'NN'), ('drawpatientproperty', 'NN')];deprecated phenx measure fasting plasma glucose diabetes screening blood drawphenx measure fasting plasma glucose diabetes screening blood drawpatientproperty;bilirubin in plasma;0
214;71593-8;Glucose-6-Phosphate dehydrogenase [Enzymatic activity/substance] in Red Blood Cells;Glucose-6-Phosphate dehydrogenase;RBC;CSub;Glucose-6-Phosphate dehydrogenase [Enzymatic activity/substance] in Red Blood CellsGlucose-6-Phosphate dehydrogenaseRBCproperty;Glucose6Phosphate dehydrogenase Enzymatic activitysubstance in Red Blood CellsGlucose6Phosphate dehydrogenaseRBCproperty;['glucose6phosphate', 'dehydrogenase', 'enzymatic', 'activitysubstance', 'in', 'red', 'blood', 'cellsglucose6phosphate', 'dehydrogenaserbcproperty'];['glucose6phosphate', 'dehydrogenase', 'enzymatic', 'activitysubstance', 'red', 'blood', 'cellsglucose6phosphate', 'dehydrogenaserbcproperty'];[('glucose6phosphate', 'NN'), ('dehydrogenase', 'NN'), ('enzymatic', 'JJ'), ('activitysubstance', 'NN'), ('in', 'IN'), ('red', 'JJ'), ('blood', 'NN'), ('cellsglucose6phosphate', 'NN'), ('dehydrogenaserbcproperty', 'NN')];glucose6phosphate dehydrogenase enzymatic activitysubstance red blood cellsglucose6phosphate dehydrogenaserbcproperty;bilirubin in plasma;0
215;2356-4;Glucose-6-Phosphate dehydrogenase [Presence] in Red Blood Cells;Glucose-6-Phosphate dehydrogenase;RBC;PrThr;Glucose-6-Phosphate dehydrogenase [Presence] in Red Blood CellsGlucose-6-Phosphate dehydrogenaseRBCproperty;Glucose6Phosphate dehydrogenase Presence in Red Blood CellsGlucose6Phosphate dehydrogenaseRBCproperty;['glucose6phosphate', 'dehydrogenase', 'presence', 'in', 'red', 'blood', 'cellsglucose6phosphate', 'dehydrogenaserbcproperty'];['glucose6phosphate', 'dehydrogenase', 'presence', 'red', 'blood', 'cellsglucose6phosphate', 'dehydrogenaserbcproperty'];[('glucose6phosphate', 'NN'), ('dehydrogenase', 'NN'), ('presence', 'NN'), ('in', 'IN'), ('red', 'JJ'), ('blood', 'NN'), ('cellsglucose6phosphate', 'NN'), ('dehydrogenaserbcproperty', 'NN')];glucose6phosphate dehydrogenase presence red blood cellsglucose6phosphate dehydrogenaserbcproperty;bilirubin in plasma;1
216;49502-8;Glucose-6-Phosphate dehydrogenase [Entitic Catalytic Activity] in Blood;Glucose-6-Phosphate dehydrogenase;Bld;EntCat;Glucose-6-Phosphate dehydrogenase [Entitic Catalytic Activity] in BloodGlucose-6-Phosphate dehydrogenaseBldproperty;Glucose6Phosphate dehydrogenase Entitic Catalytic Activity in BloodGlucose6Phosphate dehydrogenaseBldproperty;['glucose6phosphate', 'dehydrogenase', 'entitic', 'catalytic', 'activity', 'in', 'bloodglucose6phosphate', 'dehydrogenasebldproperty'];['glucose6phosphate', 'dehydrogenase', 'entitic', 'catalytic', 'activity', 'bloodglucose6phosphate', 'dehydrogenasebldproperty'];[('glucose6phosphate', 'NN'), ('dehydrogenase', 'NN'), ('entitic', 'JJ'), ('catalytic', 'JJ'), ('activity', 'NN'), ('in', 'IN'), ('bloodglucose6phosphate', 'NN'), ('dehydrogenasebldproperty', 'NN')];glucose6phosphate dehydrogenase entitic catalytic activity bloodglucose6phosphate dehydrogenasebldproperty;bilirubin in plasma;0
217;74469-8;Glucose-6-Phosphate dehydrogenase/Pyruvate kinase [Ratio] in Blood;Glucose-6-Phosphate dehydrogenase/Pyruvate kinase;Bld;Ratio;Glucose-6-Phosphate dehydrogenase/Pyruvate kinase [Ratio] in BloodGlucose-6-Phosphate dehydrogenase/Pyruvate kinaseBldproperty;Glucose6Phosphate dehydrogenasePyruvate kinase Ratio in BloodGlucose6Phosphate dehydrogenasePyruvate kinaseBldproperty;['glucose6phosphate', 'dehydrogenasepyruvate', 'kinase', 'ratio', 'in', 'bloodglucose6phosphate', 'dehydrogenasepyruvate', 'kinasebldproperty'];['glucose6phosphate', 'dehydrogenasepyruvate', 'kinase', 'ratio', 'bloodglucose6phosphate', 'dehydrogenasepyruvate', 'kinasebldproperty'];[('glucose6phosphate', 'NN'), ('dehydrogenasepyruvate', 'NN'), ('kinase', 'NN'), ('ratio', 'NN'), ('in', 'IN'), ('bloodglucose6phosphate', 'NN'), ('dehydrogenasepyruvate', 'NN'), ('kinasebldproperty', 'NN')];glucose6phosphate dehydrogenasepyruvate kinase ratio bloodglucose6phosphate dehydrogenasepyruvate kinasebldproperty;bilirubin in plasma;0
218;32779-1;Glucose-6-Phosphatase [Enzymatic activity/volume] in Red Blood Cells;Glucose-6-Phosphatase;RBC;CCnc;Glucose-6-Phosphatase [Enzymatic activity/volume] in Red Blood CellsGlucose-6-PhosphataseRBCproperty;Glucose6Phosphatase Enzymatic activityvolume in Red Blood CellsGlucose6PhosphataseRBCproperty;['glucose6phosphatase', 'enzymatic', 'activityvolume', 'in', 'red', 'blood', 'cellsglucose6phosphataserbcproperty'];['glucose6phosphatase', 'enzymatic', 'activityvolume', 'red', 'blood', 'cellsglucose6phosphataserbcproperty'];[('glucose6phosphatase', 'NN'), ('enzymatic', 'JJ'), ('activityvolume', 'NN'), ('in', 'IN'), ('red', 'JJ'), ('blood', 'NN'), ('cellsglucose6phosphataserbcproperty', 'NN')];glucose6phosphatase enzymatic activityvolume red blood cellsglucose6phosphataserbcproperty;bilirubin in plasma;0
219;2357-2;Glucose-6-Phosphate dehydrogenase [Enzymatic activity/volume] in Red Blood Cells;Glucose-6-Phosphate dehydrogenase;RBC;CCnc;Glucose-6-Phosphate dehydrogenase [Enzymatic activity/volume] in Red Blood CellsGlucose-6-Phosphate dehydrogenaseRBCproperty;Glucose6Phosphate dehydrogenase Enzymatic activityvolume in Red Blood CellsGlucose6Phosphate dehydrogenaseRBCproperty;['glucose6phosphate', 'dehydrogenase', 'enzymatic', 'activityvolume', 'in', 'red', 'blood', 'cellsglucose6phosphate', 'dehydrogenaserbcproperty'];['glucose6phosphate', 'dehydrogenase', 'enzymatic', 'activityvolume', 'red', 'blood', 'cellsglucose6phosphate', 'dehydrogenaserbcproperty'];[('glucose6phosphate', 'NN'), ('dehydrogenase', 'NN'), ('enzymatic', 'JJ'), ('activityvolume', 'NN'), ('in', 'IN'), ('red', 'JJ'), ('blood', 'NN'), ('cellsglucose6phosphate', 'NN'), ('dehydrogenaserbcproperty', 'NN')];glucose6phosphate dehydrogenase enzymatic activityvolume red blood cellsglucose6phosphate dehydrogenaserbcproperty;bilirubin in plasma;0
220;32546-4;Glucose-6-Phosphate dehydrogenase [Enzymatic activity/mass] in Red Blood Cells;Glucose-6-Phosphate dehydrogenase;RBC;CCnt;Glucose-6-Phosphate dehydrogenase [Enzymatic activity/mass] in Red Blood CellsGlucose-6-Phosphate dehydrogenaseRBCproperty;Glucose6Phosphate dehydrogenase Enzymatic activitymass in Red Blood CellsGlucose6Phosphate dehydrogenaseRBCproperty;['glucose6phosphate', 'dehydrogenase', 'enzymatic', 'activitymass', 'in', 'red', 'blood', 'cellsglucose6phosphate', 'dehydrogenaserbcproperty'];['glucose6phosphate', 'dehydrogenase', 'enzymatic', 'activitymass', 'red', 'blood', 'cellsglucose6phosphate', 'dehydrogenaserbcproperty'];[('glucose6phosphate', 'NN'), ('dehydrogenase', 'NN'), ('enzymatic', 'JJ'), ('activitymass', 'NN'), ('in', 'IN'), ('red', 'JJ'), ('blood', 'NN'), ('cellsglucose6phosphate', 'NN'), ('dehydrogenaserbcproperty', 'NN')];glucose6phosphate dehydrogenase enzymatic activitymass red blood cellsglucose6phosphate dehydrogenaserbcproperty;bilirubin in plasma;0
221;49266-0;Glucose-6-Phosphate dehydrogenase phenotype [Interpretation] in Red Blood Cells Narrative;Glucose-6-Phosphate dehydrogenase phenotype;RBC;Imp;Glucose-6-Phosphate dehydrogenase phenotype [Interpretation] in Red Blood Cells NarrativeGlucose-6-Phosphate dehydrogenase phenotypeRBCproperty;Glucose6Phosphate dehydrogenase phenotype Interpretation in Red Blood Cells NarrativeGlucose6Phosphate dehydrogenase phenotypeRBCproperty;['glucose6phosphate', 'dehydrogenase', 'phenotype', 'interpretation', 'in', 'red', 'blood', 'cells', 'narrativeglucose6phosphate', 'dehydrogenase', 'phenotyperbcproperty'];['glucose6phosphate', 'dehydrogenase', 'phenotype', 'interpretation', 'red', 'blood', 'cells', 'narrativeglucose6phosphate', 'dehydrogenase', 'phenotyperbcproperty'];[('glucose6phosphate', 'NN'), ('dehydrogenase', 'NN'), ('phenotype', 'NN'), ('interpretation', 'NN'), ('in', 'IN'), ('red', 'JJ'), ('blood', 'NN'), ('cells', 'NNS'), ('narrativeglucose6phosphate', 'JJ'), ('dehydrogenase', 'NN'), ('phenotyperbcproperty', 'NN')];glucose6phosphate dehydrogenase phenotype interpretation red blood cells narrativeglucose6phosphate dehydrogenase phenotyperbcproperty;bilirubin in plasma;0
222;42319-4;Glucose-6-Phosphate dehydrogenase phenotype [Interpretation] in Red Blood Cells;Glucose-6-Phosphate dehydrogenase phenotype;RBC;Imp;Glucose-6-Phosphate dehydrogenase phenotype [Interpretation] in Red Blood CellsGlucose-6-Phosphate dehydrogenase phenotypeRBCproperty;Glucose6Phosphate dehydrogenase phenotype Interpretation in Red Blood CellsGlucose6Phosphate dehydrogenase phenotypeRBCproperty;['glucose6phosphate', 'dehydrogenase', 'phenotype', 'interpretation', 'in', 'red', 'blood', 'cellsglucose6phosphate', 'dehydrogenase', 'phenotyperbcproperty'];['glucose6phosphate', 'dehydrogenase', 'phenotype', 'interpretation', 'red', 'blood', 'cellsglucose6phosphate', 'dehydrogenase', 'phenotyperbcproperty'];[('glucose6phosphate', 'NN'), ('dehydrogenase', 'NN'), ('phenotype', 'NN'), ('interpretation', 'NN'), ('in', 'IN'), ('red', 'JJ'), ('blood', 'NN'), ('cellsglucose6phosphate', 'NN'), ('dehydrogenase', 'NN'), ('phenotyperbcproperty', 'NN')];glucose6phosphate dehydrogenase phenotype interpretation red blood cellsglucose6phosphate dehydrogenase phenotyperbcproperty;bilirubin in plasma;0
223;33287-4;Glucose-6-Phosphate dehydrogenase [Presence] in DBS;Glucose-6-Phosphate dehydrogenase;Bld.dot;PrThr;Glucose-6-Phosphate dehydrogenase [Presence] in DBSGlucose-6-Phosphate dehydrogenaseBld.dotproperty;Glucose6Phosphate dehydrogenase Presence in DBSGlucose6Phosphate dehydrogenaseBlddotproperty;['glucose6phosphate', 'dehydrogenase', 'presence', 'in', 'dbsglucose6phosphate', 'dehydrogenaseblddotproperty'];['glucose6phosphate', 'dehydrogenase', 'presence', 'dbsglucose6phosphate', 'dehydrogenaseblddotproperty'];[('glucose6phosphate', 'NN'), ('dehydrogenase', 'NN'), ('presence', 'NN'), ('in', 'IN'), ('dbsglucose6phosphate', 'NN'), ('dehydrogenaseblddotproperty', 'NN')];glucose6phosphate dehydrogenase presence dbsglucose6phosphate dehydrogenaseblddotproperty;bilirubin in plasma;0
224;58089-4;Glucose-6-Phosphate dehydrogenase newborn screen interpretation;Glucose-6-Phosphate dehydrogenase;Bld.dot;Imp;Glucose-6-Phosphate dehydrogenase newborn screen interpretationGlucose-6-Phosphate dehydrogenaseBld.dotproperty;Glucose6Phosphate dehydrogenase newborn screen interpretationGlucose6Phosphate dehydrogenaseBlddotproperty;['glucose6phosphate', 'dehydrogenase', 'newborn', 'screen', 'interpretationglucose6phosphate', 'dehydrogenaseblddotproperty'];['glucose6phosphate', 'dehydrogenase', 'newborn', 'screen', 'interpretationglucose6phosphate', 'dehydrogenaseblddotproperty'];[('glucose6phosphate', 'NN'), ('dehydrogenase', 'NN'), ('newborn', 'JJ'), ('screen', 'NN'), ('interpretationglucose6phosphate', 'NN'), ('dehydrogenaseblddotproperty', 'NN')];glucose6phosphate dehydrogenase newborn screen interpretationglucose6phosphate dehydrogenaseblddotproperty;bilirubin in plasma;0
225;49925-1;Glucose-6-Phosphate dehydrogenase [Enzymatic activity/mass] in Red Blood Cells by Glock and McLean;Glucose-6-Phosphate dehydrogenase;RBC;CCnt;Glucose-6-Phosphate dehydrogenase [Enzymatic activity/mass] in Red Blood Cells by Glock and McLeanGlucose-6-Phosphate dehydrogenaseRBCproperty;Glucose6Phosphate dehydrogenase Enzymatic activitymass in Red Blood Cells by Glock and McLeanGlucose6Phosphate dehydrogenaseRBCproperty;['glucose6phosphate', 'dehydrogenase', 'enzymatic', 'activitymass', 'in', 'red', 'blood', 'cells', 'by', 'glock', 'and', 'mcleanglucose6phosphate', 'dehydrogenaserbcproperty'];['glucose6phosphate', 'dehydrogenase', 'enzymatic', 'activitymass', 'red', 'blood', 'cells', 'glock', 'mcleanglucose6phosphate', 'dehydrogenaserbcproperty'];[('glucose6phosphate', 'NN'), ('dehydrogenase', 'NN'), ('enzymatic', 'JJ'), ('activitymass', 'NN'), ('in', 'IN'), ('red', 'JJ'), ('blood', 'NN'), ('cells', 'NNS'), ('by', 'IN'), ('glock', 'NN'), ('and', 'CC'), ('mcleanglucose6phosphate', 'NN'), ('dehydrogenaserbcproperty', 'NN')];glucose6phosphate dehydrogenase enzymatic activitymass red blood cells glock mcleanglucose6phosphate dehydrogenaserbcproperty;bilirubin in plasma;0
226;49926-9;Glucose-6-Phosphate dehydrogenase [Enzymatic activity/mass] in Red Blood Cells by WHO method;Glucose-6-Phosphate dehydrogenase;RBC;CCnt;Glucose-6-Phosphate dehydrogenase [Enzymatic activity/mass] in Red Blood Cells by WHO methodGlucose-6-Phosphate dehydrogenaseRBCproperty;Glucose6Phosphate dehydrogenase Enzymatic activitymass in Red Blood Cells by WHO methodGlucose6Phosphate dehydrogenaseRBCproperty;['glucose6phosphate', 'dehydrogenase', 'enzymatic', 'activitymass', 'in', 'red', 'blood', 'cells', 'by', 'who', 'methodglucose6phosphate', 'dehydrogenaserbcproperty'];['glucose6phosphate', 'dehydrogenase', 'enzymatic', 'activitymass', 'red', 'blood', 'cells', 'methodglucose6phosphate', 'dehydrogenaserbcproperty'];[('glucose6phosphate', 'NN'), ('dehydrogenase', 'NN'), ('enzymatic', 'JJ'), ('activitymass', 'NN'), ('in', 'IN'), ('red', 'JJ'), ('blood', 'NN'), ('cells', 'NNS'), ('by', 'IN'), ('who', 'WP'), ('methodglucose6phosphate', 'VBP'), ('dehydrogenaserbcproperty', 'NN')];glucose6phosphate dehydrogenase enzymatic activitymass red blood cells methodglucose6phosphate dehydrogenaserbcproperty;bilirubin in plasma;0
227;58091-0;Glucose-6-Phosphate dehydrogenase newborn screen panel;Glucose-6-Phosphate dehydrogenase newborn screen panel;Bld.dot;-;Glucose-6-Phosphate dehydrogenase newborn screen panelGlucose-6-Phosphate dehydrogenase newborn screen panelBld.dotproperty;Glucose6Phosphate dehydrogenase newborn screen panelGlucose6Phosphate dehydrogenase newborn screen panelBlddotproperty;['glucose6phosphate', 'dehydrogenase', 'newborn', 'screen', 'panelglucose6phosphate', 'dehydrogenase', 'newborn', 'screen', 'panelblddotproperty'];['glucose6phosphate', 'dehydrogenase', 'newborn', 'screen', 'panelglucose6phosphate', 'dehydrogenase', 'newborn', 'screen', 'panelblddotproperty'];[('glucose6phosphate', 'NN'), ('dehydrogenase', 'NN'), ('newborn', 'JJ'), ('screen', 'NN'), ('panelglucose6phosphate', 'NN'), ('dehydrogenase', 'NN'), ('newborn', 'JJ'), ('screen', 'NN'), ('panelblddotproperty', 'NN')];glucose6phosphate dehydrogenase newborn screen panelglucose6phosphate dehydrogenase newborn screen panelblddotproperty;bilirubin in plasma;0
228;58090-2;Glucose-6-Phosphate dehydrogenase newborn screening comment-discussion;Glucose-6-Phosphate dehydrogenase newborn screening comment-discussion;Bld.dot;Txt;Glucose-6-Phosphate dehydrogenase newborn screening comment-discussionGlucose-6-Phosphate dehydrogenase newborn screening comment-discussionBld.dotproperty;Glucose6Phosphate dehydrogenase newborn screening commentdiscussionGlucose6Phosphate dehydrogenase newborn screening commentdiscussionBlddotproperty;['glucose6phosphate', 'dehydrogenase', 'newborn', 'screening', 'commentdiscussionglucose6phosphate', 'dehydrogenase', 'newborn', 'screening', 'commentdiscussionblddotproperty'];['glucose6phosphate', 'dehydrogenase', 'newborn', 'screening', 'commentdiscussionglucose6phosphate', 'dehydrogenase', 'newborn', 'screening', 'commentdiscussionblddotproperty'];[('glucose6phosphate', 'NN'), ('dehydrogenase', 'NN'), ('newborn', 'JJ'), ('screening', 'VBG'), ('commentdiscussionglucose6phosphate', 'JJ'), ('dehydrogenase', 'NN'), ('newborn', 'JJ'), ('screening', 'VBG'), ('commentdiscussionblddotproperty', 'NN')];glucose6phosphate dehydrogenase newborn screening commentdiscussionglucose6phosphate dehydrogenase newborn screening commentdiscussionblddotproperty;bilirubin in plasma;0
229;2360-6;Glucose-6-Phosphate dehydrogenase [Enzymatic activity/volume] in Leukocytes;Glucose-6-Phosphate dehydrogenase;WBC;CCnc;Glucose-6-Phosphate dehydrogenase [Enzymatic activity/volume] in LeukocytesGlucose-6-Phosphate dehydrogenaseWBCproperty;Glucose6Phosphate dehydrogenase Enzymatic activityvolume in LeukocytesGlucose6Phosphate dehydrogenaseWBCproperty;['glucose6phosphate', 'dehydrogenase', 'enzymatic', 'activityvolume', 'in', 'leukocytesglucose6phosphate', 'dehydrogenasewbcproperty'];['glucose6phosphate', 'dehydrogenase', 'enzymatic', 'activityvolume', 'leukocytesglucose6phosphate', 'dehydrogenasewbcproperty'];[('glucose6phosphate', 'NN'), ('dehydrogenase', 'NN'), ('enzymatic', 'JJ'), ('activityvolume', 'NN'), ('in', 'IN'), ('leukocytesglucose6phosphate', 'NN'), ('dehydrogenasewbcproperty', 'NN')];glucose6phosphate dehydrogenase enzymatic activityvolume leukocytesglucose6phosphate dehydrogenasewbcproperty;bilirubin in plasma;0
230;21681-2;G6PD gene mutations tested for in Blood or Tissue by Molecular genetics method Nominal;G6PD gene mutations tested for;Bld/Tiss;Prid;G6PD gene mutations tested for in Blood or Tissue by Molecular genetics method NominalG6PD gene mutations tested forBld/Tissproperty;G6PD gene mutations tested for in Blood or Tissue by Molecular genetics method NominalG6PD gene mutations tested forBldTissproperty;['g6pd', 'gene', 'mutations', 'tested', 'for', 'in', 'blood', 'or', 'tissue', 'by', 'molecular', 'genetics', 'method', 'nominalg6pd', 'gene', 'mutations', 'tested', 'forbldtissproperty'];['g6pd', 'gene', 'mutations', 'tested', 'blood', 'tissue', 'molecular', 'genetics', 'method', 'nominalg6pd', 'gene', 'mutations', 'tested', 'forbldtissproperty'];[('g6pd', 'JJ'), ('gene', 'NN'), ('mutations', 'NNS'), ('tested', 'VBN'), ('for', 'IN'), ('in', 'IN'), ('blood', 'NN'), ('or', 'CC'), ('tissue', 'NN'), ('by', 'IN'), ('molecular', 'JJ'), ('genetics', 'NNS'), ('method', 'VBP'), ('nominalg6pd', 'JJ'), ('gene', 'NN'), ('mutations', 'NNS'), ('tested', 'VBD'), ('forbldtissproperty', 'NN')];g6pd gene mutations tested blood tissue molecular genetics method nominalg6pd gene mutations tested forbldtissproperty;bilirubin in plasma;0
231;21680-4;G6PD gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal;G6PD gene targeted mutation analysis;Bld/Tiss;Prid;G6PD gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method NominalG6PD gene targeted mutation analysisBld/Tissproperty;G6PD gene mutations found Identifier in Blood or Tissue by Molecular genetics method NominalG6PD gene targeted mutation analysisBldTissproperty;['g6pd', 'gene', 'mutations', 'found', 'identifier', 'in', 'blood', 'or', 'tissue', 'by', 'molecular', 'genetics', 'method', 'nominalg6pd', 'gene', 'targeted', 'mutation', 'analysisbldtissproperty'];['g6pd', 'gene', 'mutations', 'found', 'identifier', 'blood', 'tissue', 'molecular', 'genetics', 'method', 'nominalg6pd', 'gene', 'targeted', 'mutation', 'analysisbldtissproperty'];[('g6pd', 'JJ'), ('gene', 'NN'), ('mutations', 'NNS'), ('found', 'VBN'), ('identifier', 'RB'), ('in', 'IN'), ('blood', 'NN'), ('or', 'CC'), ('tissue', 'NN'), ('by', 'IN'), ('molecular', 'JJ'), ('genetics', 'NNS'), ('method', 'VBP'), ('nominalg6pd', 'JJ'), ('gene', 'NN'), ('targeted', 'VBN'), ('mutation', 'NN'), ('analysisbldtissproperty', 'NN')];g6pd gene mutations found identifier blood tissue molecular genetics method nominalg6pd gene targeted mutation analysisbldtissproperty;bilirubin in plasma;0
232;94231-8;G6PD gene full mutation analysis in Blood or Tissue by Sequencing;G6PD gene full mutation analysis;Bld/Tiss;Find;G6PD gene full mutation analysis in Blood or Tissue by SequencingG6PD gene full mutation analysisBld/Tissproperty;G6PD gene full mutation analysis in Blood or Tissue by SequencingG6PD gene full mutation analysisBldTissproperty;['g6pd', 'gene', 'full', 'mutation', 'analysis', 'in', 'blood', 'or', 'tissue', 'by', 'sequencingg6pd', 'gene', 'full', 'mutation', 'analysisbldtissproperty'];['g6pd', 'gene', 'full', 'mutation', 'analysis', 'blood', 'tissue', 'sequencingg6pd', 'gene', 'full', 'mutation', 'analysisbldtissproperty'];[('g6pd', 'NN'), ('gene', 'NN'), ('full', 'JJ'), ('mutation', 'NN'), ('analysis', 'NN'), ('in', 'IN'), ('blood', 'NN'), ('or', 'CC'), ('tissue', 'NN'), ('by', 'IN'), ('sequencingg6pd', 'JJ'), ('gene', 'NN'), ('full', 'JJ'), ('mutation', 'NN'), ('analysisbldtissproperty', 'NN')];g6pd gene full mutation analysis blood tissue sequencingg6pd gene full mutation analysisbldtissproperty;bilirubin in plasma;0
233;54234-0;Cell count and Diff panel with Gluc and Prot - Body fluid;Cell count & Differential panel with Glucose & Protein;Body fld;-;Cell count and Diff panel with Gluc and Prot - Body fluidCell count & Differential panel with Glucose & ProteinBody fldproperty;Cell count and Diff panel with Gluc and Prot  Body fluidCell count  Differential panel with Glucose  ProteinBody fldproperty;['cell', 'count', 'and', 'diff', 'panel', 'with', 'gluc', 'and', 'prot', 'body', 'fluidcell', 'count', 'differential', 'panel', 'with', 'glucose', 'proteinbody', 'fldproperty'];['cell', 'count', 'diff', 'panel', 'gluc', 'prot', 'body', 'fluidcell', 'count', 'differential', 'panel', 'glucose', 'proteinbody', 'fldproperty'];[('cell', 'NN'), ('count', 'NN'), ('and', 'CC'), ('diff', 'JJ'), ('panel', 'NN'), ('with', 'IN'), ('gluc', 'NN'), ('and', 'CC'), ('prot', 'NN'), ('body', 'NN'), ('fluidcell', 'VBP'), ('count', 'NN'), ('differential', 'JJ'), ('panel', 'NN'), ('with', 'IN'), ('glucose', 'JJ'), ('proteinbody', 'NN'), ('fldproperty', 'NN')];cell count diff panel gluc prot body fluidcell count differential panel glucose proteinbody fldproperty;bilirubin in plasma;0
